m20260420180937,"0.25"" (2)",0.070817,0.073463,0.017964,0.025596,0.00853,0.056028,0.091823,0.038053,0.00913,0.010644,0.00646,0.007984,0.009174,0.011527,0.012932,0.032125,0.096346,0.187998,0.161187,0.042715,0.014893,0.014817,0.012511,0.00932,0.009517,0.050068,0.12855,0.114276,0.033978,0.014655,0.007967,0.006317,0.006728,0.008999,0.009057,0.009109,0.009019,0.006367,0.010044,0.008389,0.005675,0.005933,0.013898,0.010926,0.006775,0.007471,0.005867,0.006302,0.007529,0.021027,0.019863,0.008381,0.013597,0.009549,0.004765,0.003991,0.00419,0.005489,0.007084,0.010147,0.016939,0.01494,0.007465,0.012049,0.016107,0.018001,0.021339,0.028508,0.024679,0.007736,0.007953,0.006029,0.004724,0.005538,0.004849,0.00475,0.004619,0.004425,0.005648,0.005467,0.007983,0.00779,0.01065,0.01317,0.010735,0.011275,0.008861,0.010552,0.0072,0.004302,0.004007,0.003414,0.00351,0.003429,0.004611,0.004173,0.004146,0.00295,0.001838,0.001576,0.001959,0.002431,0.002218,0.004671,0.010798,0.011664,0.010006,0.006542,0.00465,0.004857,0.002745,0.002426,0.002459,0.002152,0.002467,0.001588,0.001992,0.001549,0.001519,0.001408,0.001731,0.001225,0.001687,0.001446,0.001117,0.001427,0.001261,0.001098,0.001226,0.001105,0.001113,0.001161,0.000968,0.001252,0.001154,0.001533,0.001178,0.00108,0.000908,0.000822,0.000965,0.001318,0.001155,0.000947,0.000918,0.000757,0.000774,0.000592,0.000569,0.000316,0.00031,0.000262,0.000232,0.000219,0.000152,0.00014,0.000119,6.6e-05,6.3e-05,2.6e-05
m20260420181648,"0.25"" (3)",0.07818,0.077658,0.017439,0.025839,0.009288,0.055169,0.094998,0.040814,0.007784,0.010073,0.008184,0.007533,0.008589,0.011932,0.009623,0.036208,0.095456,0.192092,0.156835,0.040814,0.013776,0.013291,0.009415,0.008218,0.008575,0.05055,0.137089,0.124811,0.038805,0.010031,0.005204,0.004887,0.00519,0.006769,0.006542,0.008828,0.010349,0.006771,0.009544,0.00648,0.005619,0.006446,0.012131,0.010117,0.004566,0.004422,0.004731,0.003652,0.007938,0.024921,0.022203,0.007173,0.014548,0.008844,0.003213,0.003803,0.00358,0.005417,0.00556,0.011374,0.017965,0.014574,0.005895,0.01347,0.016755,0.019696,0.024644,0.030284,0.02714,0.007304,0.006396,0.005974,0.005277,0.005335,0.005714,0.005002,0.004552,0.005288,0.004833,0.006832,0.007468,0.007256,0.009927,0.012552,0.012769,0.010525,0.01076,0.008253,0.007818,0.005264,0.003307,0.002296,0.002184,0.004,0.004007,0.004789,0.004427,0.001925,0.001035,0.001554,0.001649,0.002,0.001466,0.004802,0.009397,0.010871,0.00903,0.005474,0.004194,0.003723,0.002221,0.001937,0.001722,0.002305,0.001765,0.001406,0.001272,0.001248,0.00103,0.001205,0.001143,0.001418,0.001376,0.001006,0.001079,0.001144,0.00097,0.000801,0.000937,0.000742,0.000851,0.000747,0.00063,0.000844,0.001063,0.000849,0.000806,0.000734,0.000704,0.000657,0.000841,0.000882,0.000953,0.000567,0.000537,0.000649,0.000641,0.000617,0.00049,0.000333,0.000304,0.000197,0.000204,0.00023,0.000137,0.000139,9.4e-05,7e-05,5.4e-05,4.3e-05
m20260420182019,"1.00"" (1)",0.059141,0.039124,0.013837,0.00564,0.009934,0.056745,0.073448,0.025284,0.006336,0.005513,0.007327,0.005558,0.006972,0.007727,0.009498,0.007897,0.018283,0.021142,0.016681,0.018456,0.061765,0.075859,0.045811,0.014052,0.008304,0.004285,0.0077,0.00923,0.010382,0.005458,0.00969,0.017407,0.013061,0.007805,0.005887,0.004922,0.005248,0.005003,0.004419,0.005379,0.004081,0.003044,0.005563,0.00636,0.005915,0.005042,0.006599,0.006874,0.009686,0.008163,0.007944,0.006017,0.004043,0.005787,0.005582,0.006112,0.005466,0.006611,0.004316,0.00763,0.006485,0.005159,0.004732,0.006436,0.005097,0.006605,0.008725,0.009998,0.011259,0.009654,0.022131,0.045651,0.040931,0.014935,0.00393,0.003102,0.004356,0.006569,0.006808,0.005129,0.003973,0.003193,0.002301,0.00271,0.002555,0.002806,0.00259,0.002821,0.002544,0.001901,0.00278,0.004331,0.003855,0.002738,0.003191,0.003333,0.003007,0.002946,0.002646,0.002782,0.003674,0.003643,0.003534,0.003061,0.002863,0.004514,0.00369,0.002871,0.002573,0.001871,0.001578,0.001481,0.002632,0.003011,0.002207,0.002019,0.002295,0.001891,0.002006,0.002419,0.002205,0.002178,0.002097,0.001338,0.001032,0.001004,0.000963,0.000966,0.000763,0.000901,0.000899,0.00076,0.000746,0.000767,0.00102,0.000895,0.000835,0.000727,0.000673,0.000592,0.00051,0.000506,0.000546,0.000502,0.000538,0.000472,0.000635,0.000506,0.000574,0.000558,0.000616,0.00043,0.000236,0.000122,0.000125,0.000112,9.7e-05,6.7e-05,3.1e-05,2.4e-05
m20260420182255,"1.00"" (2)",0.058782,0.037011,0.012239,0.004842,0.009145,0.051155,0.06391,0.022655,0.005648,0.005916,0.005507,0.006513,0.007371,0.007722,0.01038,0.009019,0.017854,0.025252,0.018756,0.014975,0.053989,0.075057,0.049234,0.017083,0.006726,0.006887,0.007898,0.011035,0.01227,0.006277,0.011583,0.016443,0.015407,0.008876,0.004568,0.004179,0.004724,0.003909,0.004584,0.00519,0.00531,0.003456,0.006137,0.007046,0.00517,0.004478,0.005691,0.006047,0.005194,0.009573,0.008453,0.005667,0.006641,0.003808,0.005107,0.005543,0.004313,0.005108,0.004507,0.00857,0.006938,0.005056,0.003741,0.004267,0.003705,0.005396,0.006617,0.007836,0.008276,0.006084,0.023498,0.052106,0.050031,0.018321,0.003953,0.004172,0.002694,0.004257,0.007353,0.005365,0.003246,0.003107,0.001667,0.001984,0.002055,0.001562,0.002752,0.002589,0.002754,0.002379,0.00152,0.003005,0.003604,0.002132,0.002802,0.002428,0.00297,0.002774,0.002345,0.002507,0.003269,0.00323,0.003151,0.002596,0.001979,0.00297,0.002452,0.002138,0.002151,0.001913,0.001518,0.001574,0.002146,0.002686,0.002171,0.00269,0.002063,0.001859,0.0022,0.00259,0.002396,0.001454,0.00148,0.0012,0.000793,0.001181,0.000864,0.000942,0.000903,0.000695,0.000911,0.000716,0.000877,0.001045,0.000968,0.000879,0.000616,0.000533,0.000573,0.000599,0.000551,0.00066,0.000382,0.000633,0.000616,0.000539,0.000339,0.000591,0.000548,0.000566,0.000545,0.000349,0.000306,0.000151,0.000139,0.000109,8.1e-05,5.7e-05,5e-05,4.3e-05
m20260420182427,"1.00"" (3)",0.072095,0.041583,0.016517,0.006255,0.009861,0.048537,0.062613,0.024525,0.006559,0.007132,0.007389,0.006277,0.008061,0.006445,0.012613,0.01167,0.017082,0.023393,0.015445,0.020551,0.053757,0.077973,0.050778,0.021155,0.009062,0.008176,0.010353,0.013264,0.015587,0.007449,0.011666,0.014049,0.019752,0.010806,0.00718,0.007279,0.006921,0.006838,0.005285,0.006103,0.005568,0.004672,0.006063,0.008334,0.007083,0.006882,0.006043,0.006835,0.006497,0.009463,0.008206,0.006876,0.007258,0.007151,0.005018,0.005338,0.006336,0.006788,0.005726,0.00929,0.009052,0.00681,0.005408,0.006675,0.006674,0.008498,0.011218,0.009645,0.010593,0.012748,0.027984,0.068468,0.062337,0.026289,0.005845,0.005834,0.003775,0.003116,0.006821,0.00591,0.004559,0.003688,0.002746,0.003303,0.002982,0.003461,0.00277,0.00334,0.0029,0.002505,0.00403,0.004983,0.00321,0.003254,0.002779,0.003151,0.003416,0.003531,0.002965,0.002827,0.003459,0.003895,0.003223,0.00269,0.00254,0.003247,0.002775,0.002564,0.002143,0.002016,0.002093,0.002451,0.003531,0.003608,0.003134,0.003057,0.002904,0.002854,0.002906,0.002509,0.002671,0.002037,0.002477,0.002055,0.001813,0.001599,0.001464,0.001244,0.001186,0.001333,0.001213,0.001105,0.001116,0.001079,0.001527,0.001266,0.00097,0.000907,0.000969,0.000919,0.000859,0.000877,0.000796,0.000823,0.000675,0.000671,0.000598,0.000672,0.000727,0.000717,0.000684,0.000512,0.000362,0.000234,0.000216,0.000158,0.000143,8.9e-05,7.3e-05,5.2e-05
m20260420182750,"1.00"" (4 -- screw driver impulse)",0.008973,0.00489,0.007489,0.008129,0.008381,0.010278,0.011887,0.008512,0.005874,0.004292,0.005851,0.005634,0.004513,0.006193,0.004348,0.006904,0.005549,0.01186,0.02024,0.019938,0.009903,0.017073,0.016237,0.010123,0.005909,0.004972,0.002401,0.004261,0.004698,0.004671,0.004279,0.006692,0.00494,0.006759,0.005508,0.004698,0.002609,0.003273,0.003681,0.003887,0.006169,0.004299,0.006767,0.007339,0.005752,0.004551,0.004271,0.005058,0.005607,0.002993,0.002733,0.004147,0.004349,0.004092,0.004435,0.002498,0.002772,0.003435,0.004031,0.005186,0.003126,0.002038,0.003114,0.003057,0.004088,0.003732,0.003817,0.001282,0.003646,0.002449,0.004242,0.004263,0.008538,0.00664,0.002832,0.003085,0.003103,0.003214,0.003498,0.003547,0.003392,0.002632,0.001393,0.001767,0.002131,0.002353,0.001341,0.003196,0.002783,0.002572,0.00273,0.002675,0.003192,0.002037,0.001573,0.002326,0.001979,0.001016,0.001595,0.00245,0.002029,0.001129,0.001759,0.0019,0.000899,0.001903,0.002027,0.000998,0.000974,0.000951,0.000574,0.001304,0.00112,0.000993,0.000889,0.001304,0.000906,0.000988,0.000984,0.001078,0.001144,0.000667,0.000508,0.000864,0.000882,0.001271,0.001164,0.00049,0.000579,0.000726,0.000721,0.000506,0.000471,0.000665,0.000566,0.00053,0.000632,0.000602,0.000795,0.000541,0.000422,0.000512,0.000551,0.000551,0.000379,0.000361,0.000211,0.000347,0.000348,0.000328,0.000379,0.000327,0.000387,0.000284,0.000179,0.000245,0.000193,0.000169,0.000196,0.000184
m20260420183009,"1.00"" (5 -- knuckle impulse)",0.063704,0.039393,0.010313,0.007049,0.010021,0.04942,0.058987,0.017178,0.006701,0.006412,0.005366,0.007141,0.007079,0.007325,0.006233,0.008287,0.024399,0.031506,0.026202,0.011402,0.033466,0.041114,0.029611,0.015661,0.005704,0.005769,0.005483,0.00528,0.006668,0.009057,0.008177,0.005581,0.005165,0.006472,0.005692,0.005174,0.003389,0.003187,0.003495,0.004173,0.004458,0.003949,0.004693,0.005272,0.003988,0.004184,0.00414,0.004151,0.004425,0.004336,0.003558,0.004277,0.003552,0.003322,0.003891,0.003905,0.003085,0.003283,0.003286,0.003358,0.003198,0.002657,0.003094,0.003745,0.003449,0.003442,0.002307,0.002851,0.002391,0.005031,0.008408,0.009902,0.008204,0.004504,0.002049,0.00224,0.00235,0.001956,0.001956,0.001517,0.002023,0.001685,0.001796,0.001679,0.0014,0.001608,0.001598,0.001344,0.001281,0.001978,0.00169,0.001158,0.001215,0.0014,0.001552,0.001437,0.001512,0.00117,0.001223,0.001453,0.001635,0.001446,0.001287,0.001214,0.001201,0.001045,0.000991,0.00116,0.001017,0.001175,0.001246,0.000986,0.001074,0.000912,0.000954,0.001019,0.001025,0.000915,0.000831,0.000924,0.000932,0.000695,0.000753,0.000803,0.000799,0.000933,0.00085,0.000657,0.00042,0.000415,0.000612,0.0006,0.000438,0.000469,0.000605,0.000535,0.000427,0.00051,0.000356,0.000351,0.00044,0.000393,0.000319,0.000279,0.000327,0.000231,0.000202,0.000209,0.000275,0.000273,0.000202,0.00017,0.000137,0.000114,0.0001,0.000109,8e-05,6.2e-05,4.4e-05,3.3e-05
m20260420205045,,0.090442,0.029705,0.051467,0.066539,0.059407,0.041091,0.02854,0.019822,0.018132,0.03761,0.049153,0.045145,0.043067,0.041199,0.057274,0.090444,0.109497,0.116696,0.134907,0.134278,0.109006,0.087511,0.065269,0.032782,0.055281,0.069236,0.064357,0.040636,0.036658,0.055051,0.060282,0.062693,0.060969,0.049283,0.041289,0.039188,0.040998,0.038068,0.02948,0.023604,0.030783,0.05244,0.07478,0.09551,0.108722,0.122978,0.140433,0.148368,0.136921,0.10852,0.072038,0.068568,0.102413,0.12144,0.110063,0.084193,0.049758,0.057064,0.076641,0.088945,0.084895,0.080768,0.078303,0.075941,0.073507,0.070576,0.073764,0.071642,0.053731,0.030844,0.033011,0.048879,0.064514,0.070241,0.066041,0.057336,0.047453,0.044898,0.043334,0.037498,0.027708,0.021017,0.027166,0.034514,0.040428,0.045671,0.04888,0.047111,0.045215,0.039569,0.027705,0.014097,0.019413,0.026945,0.023135,0.023743,0.036605,0.046384,0.047637,0.040964,0.028224,0.025471,0.023658,0.019243,0.029217,0.044201,0.060628,0.073577,0.078218,0.074858,0.064709,0.056086,0.056493,0.062646,0.068348,0.067682,0.056595,0.036218,0.013275,0.02975,0.047595,0.059693,0.068442,0.074194,0.073674,0.063023,0.046395,0.04155,0.050599,0.051969,0.039562,0.021967,0.014244,0.015857,0.027732,0.04687,0.059325,0.057037,0.041316,0.026052,0.030593,0.041248,0.044866,0.039102,0.027416,0.02343,0.030861,0.03759,0.042632,0.049082,0.053133,0.050351,0.04148,0.034245,0.037801,0.046869,0.050871,0.044901,0.030031,0.018258
m20260420205415,"0.50"" [1 -- no tape, first time with motor running]",0.13336,0.042496,0.045085,0.037209,0.020532,0.01702,0.081793,0.08009,0.02122,0.021457,0.013768,0.014191,0.019254,0.017591,0.01941,0.037264,0.040182,0.059871,0.05824,0.048591,0.050391,0.056596,0.04938,0.031014,0.022989,0.024195,0.035238,0.042109,0.03147,0.039324,0.043024,0.036603,0.037004,0.038151,0.038522,0.035584,0.028292,0.017794,0.01849,0.026123,0.026734,0.030202,0.029995,0.025199,0.02659,0.032083,0.031732,0.026812,0.021774,0.020265,0.020744,0.021897,0.015157,0.023897,0.029069,0.028425,0.048497,0.051283,0.049449,0.066882,0.087984,0.0926,0.087213,0.080308,0.075865,0.073422,0.072051,0.07903,0.083915,0.079511,0.081042,0.087164,0.082645,0.065247,0.04499,0.0363,0.03224,0.032215,0.035031,0.032457,0.022375,0.024156,0.034183,0.026582,0.016423,0.01529,0.016815,0.013903,0.012709,0.010578,0.006271,0.006783,0.012852,0.017129,0.022658,0.026059,0.026019,0.025041,0.030387,0.040032,0.040497,0.035609,0.03698,0.035987,0.030223,0.026561,0.025567,0.02115,0.016724,0.014533,0.014892,0.015036,0.014099,0.013155,0.013328,0.013428,0.012997,0.011676,0.011883,0.012383,0.01163,0.010686,0.008468,0.006912,0.007123,0.007885,0.009015,0.009298,0.009037,0.00896,0.009334,0.008951,0.009853,0.01112,0.011396,0.010419,0.009386,0.00749,0.006032,0.004864,0.004782,0.004151,0.005487,0.007199,0.007414,0.006086,0.005074,0.004895,0.004303,0.002725,0.001868,0.001932,0.001728,0.001198,0.000965,0.000915,0.000713,0.000451,0.000218,0.000173
m20260420210005,"0.50"" [2 -- no tape, motor running]",0.089627,0.04404,0.026664,0.036243,0.02938,0.055972,0.082185,0.054589,0.01861,0.01866,0.034842,0.037021,0.024735,0.020974,0.030095,0.057571,0.083865,0.078212,0.040303,0.052547,0.046748,0.036662,0.040439,0.034235,0.027352,0.039192,0.050126,0.046753,0.04081,0.039121,0.037407,0.031519,0.035391,0.047214,0.047828,0.032781,0.021058,0.020385,0.031402,0.03045,0.027603,0.027747,0.026864,0.031095,0.035212,0.032002,0.027586,0.021101,0.017044,0.017187,0.015341,0.01639,0.021812,0.030849,0.038522,0.043343,0.043979,0.038917,0.058144,0.085848,0.092913,0.081693,0.070094,0.066544,0.070825,0.066688,0.058856,0.066765,0.092244,0.11364,0.110006,0.075786,0.055021,0.051594,0.040713,0.031117,0.033058,0.028969,0.026299,0.027112,0.027472,0.023378,0.018478,0.015513,0.005048,0.009752,0.015343,0.012632,0.010029,0.010154,0.011233,0.013024,0.014092,0.01722,0.018625,0.022565,0.025128,0.033188,0.037188,0.037333,0.04503,0.048801,0.041693,0.037395,0.037505,0.03374,0.024413,0.018375,0.016818,0.01721,0.016953,0.015503,0.014182,0.013206,0.012226,0.011811,0.010778,0.009482,0.010741,0.011091,0.009785,0.009009,0.009288,0.009225,0.00851,0.00836,0.008637,0.009119,0.009335,0.008583,0.007523,0.007131,0.006447,0.005735,0.006455,0.006452,0.005885,0.005386,0.005132,0.004894,0.005634,0.006756,0.006943,0.005994,0.005181,0.004992,0.004012,0.003027,0.002744,0.002398,0.002413,0.002119,0.001837,0.001511,0.001058,0.000661,0.000549,0.000392,0.000298,0.000156
